year,dpt,dpt_url,circo,circo_url,tour,date,nuance,nameLast,nameFirst,sexe,voix,pct_exprimes,elected
2024,08,008,1,01,1,2024-12-01,RN,Duflot,Jordan,M,8290,"39,12",0
2024,08,008,1,01,1,2024-12-01,SE,Vuibert,Lionel,M,5388,"25,43",0
2024,08,008,1,01,1,2024-12-01,LR,Maréchal,Guillaume,M,3399,"16,04",0
2024,08,008,1,01,1,2024-12-01,PS,Lerouge,Damien,M,2254,"10,64",0
2024,08,008,1,01,1,2024-12-01,SE,Talarico,Rémy,M,885,"4,18",0
2024,08,008,1,01,1,2024-12-01,CNIP,North,Bruno,M,292,"1,27",0
2024,08,008,1,01,1,2024-12-01,EEE,de Causans,Juliette,F,269,"1,27",0
2024,08,008,1,01,1,2024-12-01,EAC,d'Orgeville,Sonia,F,206,"0,97",0
2024,08,008,1,01,1,2024-12-01,LO,Takawé,Mink,F,197,"0,93",0
2024,08,008,1,01,1,2024-12-01,DEC,de Paris,Luca,M,11,"0,05",0
2024,08,008,1,01,1,2024-12-01,SE,Sandassi,Farouk Raphaël,M,0,0,0
2024,08,008,1,01,2,2024-12-08,RN,Duflot,Jordan,M,10228,"49,11",0
2024,08,008,1,01,2,2024-12-08,SE,Vuibert,Lionel,M,10600,"50,89",1
2025,38,038,1,01,1,2025-01-12,LFI,Louffok,Lyes,M,8495,"28,33",0
2025,38,038,1,01,1,2025-01-12,ENS,Galliard-Minier,Camille,F,7966,"26,57",0
2025,38,038,1,01,1,2025-01-12,LR,Béranger,Nathalie,F,5028,"16,77",0
2025,38,038,1,01,1,2025-01-12,UXD,Lacroix,Alexandre,M,3325,"11,09",0
2025,38,038,1,01,1,2025-01-12,DVC,Gerbi,Hervé,M,2313,"7,71",0
2025,38,038,1,01,1,2025-01-12,ECO,Offranc-Piret,Gaëlle,F,2279,"7,6",0
2025,38,038,1,01,1,2025-01-12,EXG,Adam,Rémi,M,220,"0,73",0
2025,38,038,1,01,1,2025-01-12,EXG,Anglade,Baptiste,M,174,"0,58",0
2025,38,038,1,01,1,2025-01-12,DIV,Périer,François-Marie,M,131,"0,44",0
2025,38,038,1,01,1,2025-01-12,EXG,Jarry,Martine,F,48,"0,16",0
2025,38,038,1,01,1,2025-01-12,DIV,Le Morzellec,Matthieu,M,2,"0,01",0
2025,38,038,1,01,2,2025-01-19,LFI,Louffok,Lyes,M,11211,"35,73",0
2025,38,038,1,01,2,2025-01-19,ENS,Galliard-Minier,Camille,F,20171,"64,28",1